measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,210,Liberia,3,Both,22,All ages,1,Number,2021,5459481.26411223,6313008.008942367,4606604.695408734
44,Population,561,Pennsylvania,3,Both,22,All ages,1,Number,2021,12976162.77643025,14318158.186676702,11679063.920611968
44,Population,208,Guinea,3,Both,22,All ages,1,Number,2021,13429750.833634403,14955042.505403062,11962021.094661621
44,Population,53621,Sindh,3,Both,22,All ages,1,Number,2021,52622051.61872593,59306325.077964984,46003951.4530213
44,Population,57,Belarus,3,Both,22,All ages,1,Number,2021,9324657.46768948,10621558.949765274,8020721.155037568
44,Population,44859,Harari,3,Both,22,All ages,1,Number,2021,266664.0349932416,331852.5229272915,206507.89940461022
44,Population,35627,Kakamega,3,Both,22,All ages,1,Number,2021,1930584.8598836614,2167600.166407835,1709477.4269391312
44,Population,44853,Afar,3,Both,22,All ages,1,Number,2021,1784212.601198506,2202534.902237907,1413070.0827929948
44,Population,44724,Southend-on-Sea,3,Both,22,All ages,1,Number,2021,192604.90839614003,231605.39431115656,156300.0086083007
44,Population,35637,Lamu,3,Both,22,All ages,1,Number,2021,151519.26124906068,174302.42557355674,130546.48469828824
44,Population,66,Brunei Darussalam,3,Both,22,All ages,1,Number,2021,451135.751327325,509670.0339010918,393807.0971892489
44,Population,4738,West Sulawesi,3,Both,22,All ages,1,Number,2021,1459856.138610456,1632699.4321747462,1303301.154099683
44,Population,207,Ghana,3,Both,22,All ages,1,Number,2021,34245939.473339796,38853934.173341826,29711006.032713152
44,Population,35449,Kyōto,3,Both,22,All ages,1,Number,2021,2606655.999875336,2908581.549082915,2329931.240038464
44,Population,44652,South Tyneside,3,Both,22,All ages,1,Number,2021,147947.51546812107,178350.3109115135,118894.59333217403
44,Population,4737,Gorontalo,3,Both,22,All ages,1,Number,2021,1210094.6180870826,1334741.691814698,1085413.262027155
44,Population,125,Colombia,3,Both,22,All ages,1,Number,2021,49060425.68632399,53498002.264875434,44536606.35098575
44,Population,568,Vermont,3,Both,22,All ages,1,Number,2021,641768.5112936621,713795.1047137339,575253.6178977642
44,Population,44717,Central Bedfordshire,3,Both,22,All ages,1,Number,2021,282002.96226502035,340602.57479734306,228554.27904782782
44,Population,44865,Ardebil,3,Both,22,All ages,1,Number,2021,1301501.2326335432,1482641.8539302687,1127174.146759379
44,Population,4731,South Kalimantan,3,Both,22,All ages,1,Number,2021,4113199.315328742,4573443.70670901,3650153.7058494533
44,Population,4864,Nagaland,3,Both,22,All ages,1,Number,2021,1866807.9330433744,2218603.690045986,1535008.2418176383
44,Population,35436,Tōkyō,3,Both,22,All ages,1,Number,2021,14302809.541746119,15775993.757968163,12847312.454025483
44,Population,44663,Wirral,3,Both,22,All ages,1,Number,2021,331713.4686306733,395642.53506421077,272435.9038968825
44,Population,44726,Luton,3,Both,22,All ages,1,Number,2021,225466.83427056158,277025.44109384826,185171.52679277275
44,Population,4736,Southeast Sulawesi,3,Both,22,All ages,1,Number,2021,2672724.6338570444,2956194.324873342,2369845.0821055006
44,Population,44785,Gloucestershire,3,Both,22,All ages,1,Number,2021,634687.1540711059,756276.2966488894,523207.25077843113
44,Population,35636,Laikipia,3,Both,22,All ages,1,Number,2021,538260.8561642721,609849.633844138,471295.42381553527
44,Population,44662,Bolton,3,Both,22,All ages,1,Number,2021,300060.5859792939,358065.01237038645,247857.37772487837
44,Population,44739,Sutton,3,Both,22,All ages,1,Number,2021,204928.59966097664,243003.02495356766,168491.16326165825
44,Population,35631,Kirinyaga,3,Both,22,All ages,1,Number,2021,620022.4579946805,712868.2094447935,539483.0202401719
44,Population,44864,Alborz,3,Both,22,All ages,1,Number,2021,2980724.4391910993,3426242.2126985462,2534490.2453948846
44,Population,136,Paraguay,3,Both,22,All ages,1,Number,2021,7168840.81597591,8461246.842206737,5861334.229514281
44,Population,571,West Virginia,3,Both,22,All ages,1,Number,2021,1777610.436900445,1973123.3107448625,1593908.5142165762
44,Population,35638,Machakos,3,Both,22,All ages,1,Number,2021,1510856.3368026162,1712041.6009011166,1325563.8444799366
44,Population,211,Mali,3,Both,22,All ages,1,Number,2021,24104148.76517388,27474125.781874143,20612795.036742404
44,Population,44857,Benishangul-Gumuz,3,Both,22,All ages,1,Number,2021,1147996.3553218525,1410821.8199017486,906353.1005192746
44,Population,44656,Stockport,3,Both,22,All ages,1,Number,2021,290407.43980623374,345675.4850154897,240089.64741877496
44,Population,4869,Sikkim,3,Both,22,All ages,1,Number,2021,686661.8939710754,822326.5644502061,562824.4015252347
44,Population,139,Algeria,3,Both,22,All ages,1,Number,2021,44197950.69413077,50960850.021555044,37361433.257975526
44,Population,61,Republic of Moldova,3,Both,22,All ages,1,Number,2021,3593444.2054054877,4191588.1128126346,2972774.5249712276
44,Population,4741,West Papua,3,Both,22,All ages,1,Number,2021,1190727.496445946,1321395.785710301,1066444.2952789923
44,Population,44728,Kensington and Chelsea,3,Both,22,All ages,1,Number,2021,153463.07290877687,182170.47948082362,125860.72707078168
44,Population,44645,Stockton-on-Tees,3,Both,22,All ages,1,Number,2021,199647.49930780806,239259.52585268338,163744.88055629467
44,Population,35440,Ishikawa,3,Both,22,All ages,1,Number,2021,1145151.9724612094,1269467.6888851346,1024402.3582786307
44,Population,35641,Marsabit,3,Both,22,All ages,1,Number,2021,499904.53132706875,568881.5104775093,438210.09459842334
44,Population,70,Australasia,3,Both,22,All ages,1,Number,2021,30961459.948692974,32748206.93786036,29168598.87323848
44,Population,4742,Papua,3,Both,22,All ages,1,Number,2021,4857923.897612631,5406612.0505978055,4314395.245382592
44,Population,35438,Niigata,3,Both,22,All ages,1,Number,2021,2212807.371423389,2452924.701633665,1967719.7570656305
44,Population,565,Tennessee,3,Both,22,All ages,1,Number,2021,6948923.196765064,7695259.391866676,6247094.91065807
44,Population,35453,Wakayama,3,Both,22,All ages,1,Number,2021,926701.7963606806,1034234.7292858606,827166.160068485
44,Population,4740,North Maluku,3,Both,22,All ages,1,Number,2021,1321212.6306845117,1469929.082887541,1176680.4131187769
44,Population,44869,Chahar Mahaal and Bakhtiari,3,Both,22,All ages,1,Number,2021,1023950.5867098183,1180042.0042246163,878432.8342594329
44,Population,572,Wisconsin,3,Both,22,All ages,1,Number,2021,5895321.499642171,6523300.00610748,5274058.185081445
44,Population,129,Honduras,3,Both,22,All ages,1,Number,2021,10110155.809351342,11286342.373736745,8912380.645508867
44,Population,44721,Cambridgeshire,3,Both,22,All ages,1,Number,2021,689864.6811731802,824640.6384340972,567222.5909075079
44,Population,44667,Oldham,3,Both,22,All ages,1,Number,2021,238944.27315200111,285783.71508477157,195002.0374055162
44,Population,44730,Westminster,3,Both,22,All ages,1,Number,2021,232989.87909950444,276600.72225071746,191992.05103553733
44,Population,44666,Warrington,3,Both,22,All ages,1,Number,2021,214401.88528590408,259684.49254768706,177668.76714702768
44,Population,44743,Hammersmith and Fulham,3,Both,22,All ages,1,Number,2021,192090.68769265673,229308.53307624513,156976.68348836954
44,Population,44868,Bushehr,3,Both,22,All ages,1,Number,2021,1276288.771294415,1457863.1313933886,1111411.3549773998
44,Population,4735,South Sulawesi,3,Both,22,All ages,1,Number,2021,9414167.90448205,10492780.032072604,8384375.702666843
44,Population,4619,North West England,3,Both,22,All ages,1,Number,2021,7449814.683749047,8532052.446972689,6437124.582911815
44,Population,44789,"Bristol, City of",3,Both,22,All ages,1,Number,2021,473038.5434952807,562381.9121074581,385732.08830466657
44,Population,35640,Mandera,3,Both,22,All ages,1,Number,2021,872306.2680792089,995223.7166044367,760189.9252796127
