exposure,age,low,central,high
162.60000000000002,25+,3.1044143116812783,3.624996354778662,4.232875271420182
162.70000000000002,25+,3.105115795920463,3.625927582867437,4.234093573409414
162.8,25+,3.1058166919475076,3.62685805885249,4.235310929060322
162.9,25+,3.106517000530332,3.6277877836753696,4.2365273395051375
163,25+,3.1072167224363425,3.628716758277154,4.237742805875756
163.10000000000002,25+,3.107915858432438,3.6296449835984665,4.238957329303741
163.20000000000002,25+,3.108614409285006,3.6305724605794656,4.24017091092032
163.3,25+,3.1093123757599135,3.631499190159837,4.24138355185637
163.4,25+,3.110009758622512,3.6324251732787944,4.2425952532424205
163.5,25+,3.1107065586376317,3.633350410875074,4.2438060162086435
163.60000000000002,25+,3.11140277656958,3.634274903886931,4.2450158418848485
163.70000000000002,25+,3.1120984131821334,3.635198653252136,4.246224731400472
163.8,25+,3.112793469238546,3.636121659907967,4.2474326858845854
163.9,25+,3.1134879455015345,3.637043924791212,4.2486397064658705
164,25+,3.1141818427332875,3.6379654488381625,4.24984579427263
164.10000000000002,25+,3.114875161695453,3.638886232984607,4.251050950432775
164.20000000000002,25+,3.115567903149144,3.639806278165832,4.252255176073821
164.3,25+,3.1162600678549266,3.6407255853166127,4.253458472322873
164.4,25+,3.1169516565728315,3.641644155371217,4.254660840306642
164.5,25+,3.117642670062333,3.642561989263391,4.255862281151416
164.60000000000002,25+,3.118333109082367,3.643479087926368,4.257062795983068
164.70000000000002,25+,3.119022974391312,3.644395452292852,4.258262385927049
164.8,25+,3.1197122667469945,3.6453110832950255,4.2594610521083744
164.9,25+,3.120400986906687,3.646225981864538,4.260658795651633
165,25+,3.1210891356271033,3.647140148932503,4.261855617680968
165.10000000000002,25+,3.121776713664397,3.648053585429504,4.263051519320083
165.20000000000002,25+,3.122463721774156,3.648966292285573,4.264246501692223
165.3,25+,3.1231501607114076,3.649878270430204,4.2654405659201835
165.4,25+,3.1238360312306117,3.650789520792343,4.2666337131263
165.5,25+,3.124521334085655,3.651700044300383,4.267825944432439
165.60000000000002,25+,3.125206070029856,3.6526098418821578,4.269017260959993
165.70000000000002,25+,3.1258902398159565,3.653518914464948,4.2702076638298845
165.8,25+,3.1265738441961246,3.654427262975471,4.27139715416255
165.9,25+,3.1272568839219494,3.655334888339879,4.272585733077944
166,25+,3.1279393597444387,3.656241791483752,4.273773401695526
166.10000000000002,25+,3.128621272414017,3.657147973332101,4.274960161134257
