GID,NAME_0,scenario,ISO3,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
BWA,Botswana,HSBC,BWA,low,Pula,BWP,4.463931759390698,48.013603610830415,2910425.901426805,1.5337726884585188,1.9265262465430902e-4
THA,Thailand,HSBC,THA,low,Baht,THB,100.37652035999741,3116.450053529055,70204574.39305203,1.4297717951827857,1.8311174051529355e-4
ZAF,South Africa,HSBC,ZAF,low,Rand,ZAR,62.786398922903366,907.163006197678,62877490.79869379,0.998551280042614,1.6638636728307006e-4
ZWE,Zimbabwe,HSBC,ZWE,low,Zimbabwe Dollar,ZWL,4.913583291375467,4.913583291375467,20226798.778217383,0.24292441652541658,1.6593357547782612e-4
LSO,Lesotho,HSBC,LSO,low,Loti,LSL,0.4530035092644399,6.546716115187857,2381142.1235904507,0.19024631279940982,1.6435467246412845e-4
LSO,Lesotho,HSBC,LSO,low,Rand,ZAR,0.4530035092644399,6.546716115187857,2381142.1235904507,0.19024631279940982,1.6435467246412845e-4
PAK,Pakistan,HSBC,PAK,low,Pakistan Rupee,PKR,51.883665286592446,7081.191594011233,250497256.0463374,0.20712268910839854,1.6122235546791499e-4
HKG,Hong Kong,HSBC,HKG,low,Hong Kong Dollar,HKD,54.18616949288088,424.5974055292658,8120406.899043596,6.672839202092547,1.3686237126823495e-4
MAC,Macao,HSBC,MAC,low,Pataca,MOP,22.27486337272951,179.76928484961346,2113873.764325332,10.5374614835805,1.2530217638084812e-4
PHL,Philippines,HSBC,PHL,low,Philippine Peso,PHP,51.01126426878233,2642.1683567369487,116961876.01065898,0.43613582484033997,1.2514355393247804e-4
CHN,China,HSBC,CHN,low,Yuan Renminbi,CNY,1793.394322133271,12389.485335025523,1464400740.640746,1.224660895315154,1.1934312893577666e-4
BRN,Brunei,HSBC,BRN,low,Brunei Dollar,BND,1.6491335328086583,2.249747965457575,460796.62073678285,3.578875058093535,1.1512541304058414e-4
MOZ,Mozambique,HSBC,MOZ,low,Mozambique Metical,MZN,2.1396313060903216,133.8767308220714,42662250.32163172,0.05015279995686092,1.0197706041623644e-4
AFG,Afghanistan,HSBC,AFG,low,Afghani,AFN,2.3648608677189786,183.58391267493755,46663103.38166481,0.05067945970880703,1.0093187927816562e-4
MYS,Malaysia,HSBC,MYS,low,Malaysian Ringgit,MYR,40.38161908401612,167.27963493410172,35640795.53992144,1.1330167711544055,9.925824656617235e-5
JPN,Japan,HSBC,JPN,low,Yen,JPY,355.0715394111362,38706.22988211304,115076460.10276918,3.085527127737846,7.66650015577059e-5
MDV,Maldives,HSBC,MDV,low,Rufiyaa,MVR,1.1457218310861605,17.623493205767293,1433620.832411658,0.7991805121573258,7.406334225639636e-5
KOR,South Korea,HSBC,KOR,low,Won,KRW,109.18487084865536,127239.40813001158,51297634.521933265,2.1284582001918886,6.70127729705223e-5
NAM,Namibia,HSBC,NAM,low,Namibia Dollar,NAD,1.0038880617901726,14.50457627196913,3066119.5877470435,0.3274132117357563,6.604457593980933e-5
NAM,Namibia,HSBC,NAM,low,Rand,ZAR,1.0038880617901726,14.50457627196913,3066119.5877470435,0.3274132117357563,6.604457593980933e-5
TLS,Timor-Leste,HSBC,TLS,low,US Dollar,USD,0.11135923405364564,0.11135923405364564,1320123.4478113728,0.08435516711582365,6.517994777039211e-5
ZMB,Zambia,HSBC,ZMB,low,Zambian Kwacha,ZMW,2.0194390213167908,26.02935732136065,24824844.20000674,0.08134750031245887,6.299447768710023e-5
SGP,Singapore,HSBC,SGP,low,Singapore Dollar,SGD,19.177952042314004,26.16256217612478,4955562.706511199,3.8699847379825836,5.932531053588742e-5
MWI,Malawi,HSBC,MWI,low,Kwacha,MWK,0.617548696569526,460.64964310384715,26003058.05691796,0.023749079635855787,5.770609787180741e-5
MNG,Mongolia,HSBC,MNG,low,Tugrik,MNT,0.6675917652170836,1778.1583049547792,3726647.9357935884,0.1791400144899709,4.1706685071324833e-5
TJK,Tajikistan,HSBC,TJK,low,Somoni,TJS,0.3718801522006679,3.5441666025332474,11945762.282863192,0.031130717604698113,3.5750070380416123e-5
MDG,Madagascar,HSBC,MDG,low,Malagasy Ariary,MGA,0.655020662504202,2370.0756080914607,36174952.37047526,0.01810702211286965,3.467318127887892e-5
KGZ,Kyrgyzstan,HSBC,KGZ,low,Som,KGS,0.3167023320931943,22.10244964079398,8221590.954070517,0.038520808668594086,2.9418829117072323e-5
UZB,Uzbekistan,HSBC,UZB,low,Uzbekistan Sum,UZS,1.3516425853170975,11944.178302397808,35552260.974588566,0.03801847050693066,2.2041723001842563e-5
AGO,Angola,HSBC,AGO,low,Kwanza,AOA,1.9183901982640739,699.8782387938485,37728817.47735842,0.050846814889317055,1.7099463966915855e-5
TZA,Tanzania,HSBC,TZA,low,Tanzanian Shilling,TZS,1.1644506057637325,2678.8058096028058,80244321.81524383,0.014511314687720676,1.2932031578261565e-5
