"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths.child",-1300.80343338907,"PM25","LRI.child",FALSE,"0-4","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLLs",-95748.0795368949,"PM25","COPD",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLDs",-39046.5226757227,"PM25","COPD",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-5282.30381690058,"PM25","COPD",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLDs",-46146.7366859785,"PM25","Diabetes",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-2744.31986100045,"PM25","Diabetes",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLLs",-195457.432327127,"PM25","IHD",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-7602.16306924181,"PM25","IHD",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLLs",-18110.9778834417,"PM25","LC",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-745.87039103169,"PM25","LC",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLLs",-45848.4154771142,"PM25","LRI",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-2404.55391872718,"PM25","LRI",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLLs",-137109.248915848,"PM25","Stroke",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLDs",-9575.61435091632,"PM25","Stroke",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-5858.21999980607,"PM25","Stroke",FALSE,"25+","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
