"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1",26556597.3235152,"low","YLLs",-480989.246639277,"PM25","NCD.LRI",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","YLLs",-34722.4133425953,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","YLDs",-5468.56151337926,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","YLDs",-11259.8708692654,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","YLDs",-11252.4987671425,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-21603.7583902273,"PM25","NCD.LRI",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-7465.48762975593,"PM25","IHD",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-3515.31782659079,"PM25","Stroke",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-1373.94309176632,"PM25","COPD",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-309.489100300366,"PM25","LC",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-1115.18038835416,"PM25","LRI",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths.child",-393.959430563798,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-804.98486045762,"PM25","Diabetes",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","Absences",-36978171.2945395,"PM25","Absences",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","LBW",-172174.156580217,"PM25","LBW",FALSE,"Newborn","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","PTB",-106203.944341097,"PM25","PTB",FALSE,"Newborn","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","exac",-58955.7442386671,"PM25","Asthma",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"low","exac",-56275.7459897587,"PM25","Asthma",FALSE,"0-18","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","YLLs",-995136.392234788,"PM25","NCD.LRI",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","YLLs",-102665.898991171,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","YLDs",-23360.1125290432,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","YLDs",-41129.8008807022,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","YLDs",-41496.7102077942,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-43468.5573293542,"PM25","NCD.LRI",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-13327.4743492607,"PM25","IHD",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-14590.1637202916,"PM25","Stroke",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-8263.98476665181,"PM25","COPD",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-1437.01031446275,"PM25","LC",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-3679.81206428158,"PM25","LRI",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths.child",-1163.43764018033,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-2134.78702335546,"PM25","Diabetes",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","Absences",-26268844.8368647,"PM25","Absences",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","LBW",-20302.6603761657,"PM25","LBW",FALSE,"Newborn","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","PTB",-38632.351590458,"PM25","PTB",FALSE,"Newborn","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
