"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-1845.85018517166,"COPD","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-15436.7587821873,"Diabetes","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-952.566194987204,"Diabetes","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-58855.4958042355,"IHD","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-2211.61802531654,"IHD","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-4353.6397732646,"LC","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-165.25667887369,"LC","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-15948.9295831457,"LRI","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-799.972076926334,"LRI","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-26635.3269766987,"Stroke","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-1396.08215277413,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-1156.76890258936,"Stroke","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-18754.3922712885,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-27539.1191519582,"Asthma.18to99","AsthmaERV",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-42381.9002652594,"PTB","PTB",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-22273.1801652639,"LBW","LBW",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-25827066.1991049,"Absences","Absences",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-114137.351065136,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-1277.29293973325,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-112500.878024208,"COPD","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-26143.231707239,"COPD","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-5827.81460370061,"COPD","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-55738.2228701342,"Diabetes","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-2422.83763083623,"Diabetes","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-183906.55185801,"IHD","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-6735.80588623238,"IHD","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-14079.082315658,"LC","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-519.484858936602,"LC","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-38892.4484153492,"LRI","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-1921.01476106749,"LRI","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-155901.727790595,"Stroke","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
