estimate,iso3,Outcome,Cause,Pollutant,scenario,region_name,year,number,cost.USD
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2048,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2049,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2050,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2051,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2052,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2053,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2054,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2055,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2056,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2057,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2058,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2059,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2060,0.008123534450329211,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1980,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1981,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1982,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1983,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1984,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1985,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1986,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1987,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1988,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1989,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1990,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1991,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1992,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1993,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1994,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1995,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1996,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1997,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1998,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,1999,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2000,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2001,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2002,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2003,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2004,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2005,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2006,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2007,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2008,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2009,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2010,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2011,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2012,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2013,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2014,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2015,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2016,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2017,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2018,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2019,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2020,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2021,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2022,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2023,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2024,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2025,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2026,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2027,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2028,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2029,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2030,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2031,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2032,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2033,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2034,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2035,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2036,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2037,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2038,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2039,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2040,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2041,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2042,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2043,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2044,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2045,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2046,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2047,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2048,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2049,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2050,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2051,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2052,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2053,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2054,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2055,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2056,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2057,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2058,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2059,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,opr_all,Kepulauan Talaud,2060,3.231274792945862e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1980,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1981,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1982,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1983,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1984,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1985,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1986,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1987,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1988,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1989,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1990,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1991,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1992,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1993,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1994,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1995,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1996,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1997,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1998,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,1999,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,2000,3.261523464635318e-5,0
central,IDN,Asthma.Inci,Asthma,NO2,oprnew_a,Kepulauan Talaud,2001,3.261523464635318e-5,0
