scenario,iso3,region_id,region_name,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
scenario1,TZA,TZA,Tanzania,high,Tanzanian Shilling,TZS,1.4875252003240118,3422.0353605681894,68159882.5260827,0.02182405757161893,1.944892022228654e-5
scenario1,KAZ,KAZ,Kazakhstan,high,Tenge,KZT,2.252540443683267,862.1537729605719,19615523.263931926,0.11483458347629853,1.1800726536792763e-5
scenario1,ARE,ARE,United Arab Emirates,high,UAE Dirham,AED,4.745100432945937,17.426381339993917,9918093.396267261,0.47842869020892526,1.109957785764306e-5
scenario1,OMN,OMN,Oman,high,Rial Omani,OMR,0.7264429587525176,0.2793173176403423,5949570.699472176,0.12210006325615476,7.890642820515765e-6
scenario1,BHR,BHR,Bahrain,high,Bahraini Dinar,BHD,0.15143781388041805,0.05694061801903721,975688.8235614493,0.15521118026917774,6.603613483483166e-6
scenario1,RUS,RUS,Russia,high,Russian Ruble,RUB,8.991063887741461,582.0607966454395,145051086.4450135,0.06198549840679633,5.35049832646799e-6
scenario1,IRN,IRN,Iran,high,Iranian Rial,IRR,2.4826620454376207,85384.91194419238,88100458.42551258,0.02817989928550336,5.10476680769546e-6
scenario1,QAT,QAT,Qatar,high,Qatari Rial,QAR,0.546477071949423,1.989176541895895,1836527.2610277296,0.2975600109761571,4.5932702984245255e-6
scenario1,SAU,SAU,Saudi Arabia,high,Saudi Riyal,SAR,0.19944513696027538,0.7479192636010332,37806554.97051402,0.005275411555372502,2.2798001113881543e-7
scenario1,AUS,AUS,Australia,high,Australian Dollar,AUD,0.2885677723117511,0.40347545924629036,23606993.332121313,0.012223825721978148,2.2262740696063165e-7
scenario1,ALB,ALB,Albania,high,Lek,ALL,0,0,2905451.8089181306,0,0
scenario1,ARM,ARM,Armenia,high,Armenian Dram,AMD,0,0,2563884.8949268283,0,0
scenario1,AUT,AUT,Austria,high,Euro,EUR,0,0,9103193.226131689,0,0
scenario1,AZE,AZE,Azerbaijan,high,Azerbaijanian Manat,AZN,0,0,11502456.736960044,0,0
scenario1,BDI,BDI,Burundi,high,Burundi Franc,BIF,0,0,15059133.542332204,0,0
scenario1,BEL,BEL,Belgium,high,Euro,EUR,0,0,9195762.983849602,0,0
scenario1,BGR,BGR,Bulgaria,high,Bulgarian Lev,BGN,0,0,6513280.710046376,0,0
scenario1,BIH,BIH,Bosnia and Herzegovina,high,Convertible Mark,BAM,0,0,4050144.1738026575,0,0
scenario1,BLR,BLR,Belarus,high,Belarussian Ruble,BYN,0,0,8753156.134877726,0,0
scenario1,CAF,CAF,Central African Republic,high,CFA Franc BEAC,XAF,0,0,5051925.228789834,0,0
scenario1,CHE,CHE,Switzerland,high,Swiss Franc,CHF,0,0,9458702.378865771,0,0
scenario1,CHE,CHE,Switzerland,high,WIR Euro,CHE,0,0,9458702.378865771,0,0
scenario1,CHE,CHE,Switzerland,high,WIR Franc,CHW,0,0,9458702.378865771,0,0
scenario1,CMR,CMR,Cameroon,high,CFA Franc BEAC,XAF,0,0,28320479.783736493,0,0
scenario1,COG,COG,Republic of Congo,high,CFA Franc BEAC,XAF,0,0,5667584.856834331,0,0
